"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Adams County, NE"	"31001"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	12	597	Unreliable
	"Custer County, NE"	"31041"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	10	267	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	27	10936	246.9
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Cardiac arrest, unspecified"	"I46.9"	11	10936	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	14	5316	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	59	5316	1109.9
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Cardiac arrest, unspecified"	"I46.9"	15	5316	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atrial fibrillation and flutter"	"I48"	11	5316	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	36	5316	677.2
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"65-74 years"	"65-74"	"Acute myocardial infarction, unspecified"	"I21.9"	11	12455	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"65-74 years"	"65-74"	"Atherosclerotic heart disease"	"I25.1"	17	12455	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"75-84 years"	"75-84"	"Acute myocardial infarction, unspecified"	"I21.9"	19	7424	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	34	7424	458.0
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"75-84 years"	"75-84"	"Cardiac arrest, unspecified"	"I46.9"	16	7424	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"75-84 years"	"75-84"	"Congestive heart failure"	"I50.0"	11	7424	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	17	2299	Unreliable
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	44	2299	1913.9
	"Douglas County, NE"	"31055"	"2008"	"2008"	"Male"	"M"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	17	2299	Unreliable
	"Knox County, NE"	"31107"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	10	254	Unreliable
	"Lancaster County, NE"	"31109"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	10	6163	Unreliable
	"Lancaster County, NE"	"31109"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	10	3060	Unreliable
	"Lancaster County, NE"	"31109"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	27	3060	882.4
	"Lancaster County, NE"	"31109"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atrial fibrillation and flutter"	"I48"	12	3060	Unreliable
	"Lancaster County, NE"	"31109"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	20	3060	653.6
	"Lancaster County, NE"	"31109"	"2008"	"2008"	"Male"	"M"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	14	4198	Unreliable
	"Lancaster County, NE"	"31109"	"2008"	"2008"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	20	1480	1351.4
	"Lincoln County, NE"	"31111"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Cardiac arrest, unspecified"	"I46.9"	11	584	Unreliable
	"Polk County, NE"	"31143"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	11	137	Unreliable
	"Scotts Bluff County, NE"	"31157"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	18	639	Unreliable
	"Scotts Bluff County, NE"	"31157"	"2008"	"2008"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	22	310	7096.8
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"35-44 years"	"35-44"	"Cardiac arrest, unspecified"	"I46.9"	13	139863	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"45-54 years"	"45-54"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	126448	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"45-54 years"	"45-54"	"Cardiac arrest, unspecified"	"I46.9"	31	126448	24.5
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"55-64 years"	"55-64"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	13	104609	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"55-64 years"	"55-64"	"Acute myocardial infarction, unspecified"	"I21.9"	18	104609	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"55-64 years"	"55-64"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	44	104609	42.1
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"55-64 years"	"55-64"	"Atherosclerotic heart disease"	"I25.1"	19	104609	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"55-64 years"	"55-64"	"Cardiac arrest, unspecified"	"I46.9"	36	104609	34.4
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"65-74 years"	"65-74"	"Acute myocardial infarction, unspecified"	"I21.9"	28	64155	43.6
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"65-74 years"	"65-74"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	41	64155	63.9
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"65-74 years"	"65-74"	"Atherosclerotic heart disease"	"I25.1"	32	64155	49.9
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"65-74 years"	"65-74"	"Cardiac arrest, unspecified"	"I46.9"	47	64155	73.3
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"65-74 years"	"65-74"	"Congestive heart failure"	"I50.0"	12	64155	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	20	33895	59.0
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Acute myocardial infarction, unspecified"	"I21.9"	40	33895	118.0
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	59	33895	174.1
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	74	33895	218.3
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Cardiomyopathy, unspecified"	"I42.9"	17	33895	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Cardiac arrest, unspecified"	"I46.9"	55	33895	162.3
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Congestive heart failure"	"I50.0"	40	33895	118.0
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	"Heart disease, unspecified"	"I51.9"	14	33895	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	27	11386	237.1
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	33	11386	289.8
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	48	11386	421.6
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	80	11386	702.6
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	10	11386	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Aortic (valve) stenosis"	"I35.0"	14	11386	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Cardiomyopathy, unspecified"	"I42.9"	11	11386	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Cardiac arrest, unspecified"	"I46.9"	56	11386	491.8
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	62	11386	544.5
	"Clark County, NV"	"32003"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	"Heart disease, unspecified"	"I51.9"	19	11386	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"35-44 years"	"35-44"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	12	149799	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"35-44 years"	"35-44"	"Atherosclerotic heart disease"	"I25.1"	10	149799	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"35-44 years"	"35-44"	"Cardiac arrest, unspecified"	"I46.9"	19	149799	Unreliable
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"45-54 years"	"45-54"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	26	130398	19.9
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"45-54 years"	"45-54"	"Acute myocardial infarction, unspecified"	"I21.9"	20	130398	15.3
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"45-54 years"	"45-54"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	47	130398	36.0
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"45-54 years"	"45-54"	"Atherosclerotic heart disease"	"I25.1"	27	130398	20.7
	"Clark County, NV"	"32003"	"2008"	"2008"	"Male"	"M"	"45-54 years"	"45-54"	"Cardiac arrest, unspecified"	"I46.9"	54	130398	41.4
