"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Cascade County, MT"	"30013"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	10	1174	Unreliable
	"Cascade County, MT"	"30013"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	13	634	Unreliable
	"Flathead County, MT"	"30029"	"2011"	"2011"	"Male"	"M"	"75-84 years"	"75-84"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	13	1972	Unreliable
	"Flathead County, MT"	"30029"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	10	615	Unreliable
	"Gallatin County, MT"	"30031"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	15	827	Unreliable
	"Missoula County, MT"	"30063"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	12	626	Unreliable
	"Yellowstone County, MT"	"30111"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	10	2231	Unreliable
	"Yellowstone County, MT"	"30111"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	13	2231	Unreliable
	"Yellowstone County, MT"	"30111"	"2011"	"2011"	"Male"	"M"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	16	2930	Unreliable
	"Yellowstone County, MT"	"30111"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	13	1128	Unreliable
	"Yellowstone County, MT"	"30111"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	15	1128	Unreliable
