"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Anderson County, TX"	"48001"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	12	552	Unreliable
	"Angelina County, TX"	"48005"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Acute myocardial infarction, unspecified"	"I21.9"	12	2232	Unreliable
	"Angelina County, TX"	"48005"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	10	1058	Unreliable
	"Angelina County, TX"	"48005"	"2011"	"2011"	"Male"	"M"	"45-54 years"	"45-54"	"Acute myocardial infarction, unspecified"	"I21.9"	11	5874	Unreliable
	"Angelina County, TX"	"48005"	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	"Acute myocardial infarction, unspecified"	"I21.9"	18	3057	Unreliable
	"Angelina County, TX"	"48005"	"2011"	"2011"	"Male"	"M"	"75-84 years"	"75-84"	"Acute myocardial infarction, unspecified"	"I21.9"	10	1714	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Female"	"F"	"55-64 years"	"55-64"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	14931	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	11	4975	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	14	2312	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	23	2312	994.8
	"Bell County, TX"	"48027"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	15	2312	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Male"	"M"	"45-54 years"	"45-54"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	14	18161	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Male"	"M"	"55-64 years"	"55-64"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	13497	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Male"	"M"	"75-84 years"	"75-84"	"Acute myocardial infarction, unspecified"	"I21.9"	12	3764	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	11	1197	Unreliable
	"Bell County, TX"	"48027"	"2011"	"2011"	"Male"	"M"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	18	1197	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"45-54 years"	"45-54"	"Acute myocardial infarction, unspecified"	"I21.9"	14	117757	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"45-54 years"	"45-54"	"Cardiomyopathy, unspecified"	"I42.9"	14	117757	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"55-64 years"	"55-64"	"Acute myocardial infarction, unspecified"	"I21.9"	23	97073	23.7
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"55-64 years"	"55-64"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	18	97073	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"55-64 years"	"55-64"	"Atherosclerotic heart disease"	"I25.1"	24	97073	24.7
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"55-64 years"	"55-64"	"Cardiomyopathy, unspecified"	"I42.9"	13	97073	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"65-74 years"	"65-74"	"Acute myocardial infarction, unspecified"	"I21.9"	23	54797	42.0
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"65-74 years"	"65-74"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	20	54797	36.5
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"65-74 years"	"65-74"	"Atherosclerotic heart disease"	"I25.1"	42	54797	76.6
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"65-74 years"	"65-74"	"Congestive heart failure"	"I50.0"	10	54797	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	12	34279	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Acute myocardial infarction, unspecified"	"I21.9"	68	34279	198.4
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	26	34279	75.8
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Atherosclerotic heart disease"	"I25.1"	99	34279	288.8
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	10	34279	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Cardiomyopathy, unspecified"	"I42.9"	11	34279	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Atrial fibrillation and flutter"	"I48"	10	34279	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Cardiac arrhythmia, unspecified"	"I49.9"	10	34279	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"75-84 years"	"75-84"	"Congestive heart failure"	"I50.0"	29	34279	84.6
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	11	15782	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	12	15782	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Acute myocardial infarction, unspecified"	"I21.9"	81	15782	513.2
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	43	15782	272.5
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Atherosclerotic heart disease"	"I25.1"	201	15782	1273.6
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	18	15782	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Aortic (valve) stenosis"	"I35.0"	10	15782	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Atrial fibrillation and flutter"	"I48"	39	15782	247.1
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Cardiac arrhythmia, unspecified"	"I49.9"	16	15782	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Congestive heart failure"	"I50.0"	76	15782	481.6
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Cardiovascular disease, unspecified"	"I51.6"	15	15782	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	"Heart disease, unspecified"	"I51.9"	18	15782	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"45-54 years"	"45-54"	"Acute myocardial infarction, unspecified"	"I21.9"	29	112245	25.8
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"45-54 years"	"45-54"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	21	112245	18.7
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"45-54 years"	"45-54"	"Atherosclerotic heart disease"	"I25.1"	20	112245	17.8
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"45-54 years"	"45-54"	"Cardiomyopathy, unspecified"	"I42.9"	20	112245	17.8
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"55-64 years"	"55-64"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	14	85464	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"55-64 years"	"55-64"	"Acute myocardial infarction, unspecified"	"I21.9"	44	85464	51.5
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"55-64 years"	"55-64"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	47	85464	55.0
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"55-64 years"	"55-64"	"Atherosclerotic heart disease"	"I25.1"	46	85464	53.8
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"55-64 years"	"55-64"	"Cardiomyopathy, unspecified"	"I42.9"	23	85464	26.9
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	"Acute myocardial infarction, unspecified"	"I21.9"	47	45707	102.8
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	54	45707	118.1
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	"Atherosclerotic heart disease"	"I25.1"	72	45707	157.5
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	"Cardiomyopathy, unspecified"	"I42.9"	10	45707	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	"Congestive heart failure"	"I50.0"	11	45707	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"65-74 years"	"65-74"	"Cardiovascular disease, unspecified"	"I51.6"	14	45707	Unreliable
	"Bexar County, TX"	"48029"	"2011"	"2011"	"Male"	"M"	"75-84 years"	"75-84"	"Acute myocardial infarction, unspecified"	"I21.9"	71	23955	296.4
